V,U1U2U3,X,Y1,Y2,Y3
v2,u32_u22_u13,1,0,0,0
v1,u34_u21_u12,0,0,0,1
v2,u31_u21_u11,1,0,0,0
v1,u31_u22_u11,0,0,0,0
v1,u32_u22_u14,0,1,1,1
v1,u33_u24_u12,0,0,1,0
v1,u34_u22_u12,0,0,0,1
v1,u34_u22_u11,0,0,0,1
v1,u34_u22_u11,0,0,0,1
v1,u31_u24_u12,0,0,1,0
v1,u31_u22_u11,0,0,0,0
v1,u32_u23_u11,0,0,1,1
v1,u33_u23_u12,0,0,1,0
v1,u31_u21_u11,0,0,0,0
v2,u31_u23_u11,1,0,1,0
v1,u31_u21_u12,0,0,0,0
v2,u33_u21_u14,1,1,0,1
v2,u31_u23_u12,1,1,0,0
v1,u32_u22_u14,0,1,1,1
v1,u31_u23_u11,0,0,1,0
v2,u31_u21_u12,1,1,0,0
v1,u33_u24_u11,0,0,1,0
v1,u32_u23_u11,0,0,1,1
v1,u33_u22_u11,0,0,0,1
v2,u31_u21_u12,1,1,0,0
v1,u34_u23_u11,0,0,1,1
v2,u31_u23_u12,1,1,0,0
v1,u31_u22_u11,0,0,0,0
v1,u34_u23_u11,0,0,1,1
v1,u34_u24_u12,0,0,1,1
v1,u31_u23_u12,0,0,1,0
v1,u31_u23_u11,0,0,1,0
v2,u31_u23_u13,1,0,1,0
v1,u33_u22_u12,0,0,0,1
v1,u33_u21_u11,0,0,0,1
v2,u31_u22_u11,1,0,0,0
v2,u34_u22_u11,1,0,0,1
v1,u32_u22_u11,0,0,0,0
v1,u32_u21_u12,0,0,0,0
v2,u34_u22_u11,1,0,0,1
v1,u31_u23_u12,0,0,1,0
v1,u33_u23_u12,0,0,1,0
v1,u31_u23_u12,0,0,1,0
v1,u33_u23_u11,0,0,1,0
v1,u32_u22_u12,0,0,0,0
v1,u31_u23_u12,0,0,1,0
v2,u31_u23_u12,1,1,0,0
v1,u31_u21_u12,0,0,0,0
v1,u31_u23_u12,0,0,1,0
v2,u31_u23_u11,1,0,1,0
v1,u33_u22_u11,0,0,0,1
v2,u34_u22_u12,1,1,1,1
v2,u34_u23_u12,1,1,0,1
v1,u31_u23_u11,0,0,1,0
v1,u31_u23_u12,0,0,1,0
v1,u33_u23_u11,0,0,1,0
v1,u31_u22_u11,0,0,0,0
v2,u31_u21_u11,1,0,0,0
v2,u33_u22_u11,1,0,0,1
v1,u31_u23_u14,0,1,0,0
v2,u31_u22_u12,1,1,1,0
v2,u31_u21_u12,1,1,0,0
v1,u34_u24_u14,0,1,1,1
v1,u31_u22_u11,0,0,0,0
v1,u31_u21_u12,0,0,0,0
v1,u33_u22_u12,0,0,0,1
v1,u34_u22_u14,0,1,1,1
v1,u33_u23_u12,0,0,1,0
v1,u32_u23_u12,0,0,1,1
v1,u34_u22_u12,0,0,0,1
v1,u34_u23_u12,0,0,1,1
v1,u34_u22_u11,0,0,0,1
v1,u32_u23_u11,0,0,1,1
v1,u32_u23_u11,0,0,1,1
v1,u32_u24_u12,0,0,1,1
v1,u31_u21_u12,0,0,0,0
v1,u34_u23_u12,0,0,1,1
v1,u31_u21_u11,0,0,0,0
v1,u31_u22_u11,0,0,0,0
v1,u31_u23_u11,0,0,1,0
v1,u31_u22_u12,0,0,0,0
v1,u31_u24_u14,0,1,1,0
v1,u33_u22_u13,0,1,1,0
v1,u31_u23_u11,0,0,1,0
v2,u31_u23_u12,1,1,0,0
v1,u32_u21_u11,0,0,0,0
v1,u31_u24_u12,0,0,1,0
v2,u31_u21_u11,1,0,0,0
v2,u31_u22_u11,1,0,0,0
v1,u31_u21_u14,0,1,0,0
v1,u31_u22_u11,0,0,0,0
v1,u31_u24_u14,0,1,1,0
v1,u31_u21_u11,0,0,0,0
v1,u31_u21_u11,0,0,0,0
v2,u31_u24_u12,1,1,1,0
v1,u34_u22_u11,0,0,0,1
v1,u31_u23_u11,0,0,1,0
v1,u34_u23_u11,0,0,1,1
v1,u32_u22_u12,0,0,0,0
v1,u32_u22_u11,0,0,0,0
v1,u33_u23_u11,0,0,1,0
v1,u34_u21_u11,0,0,0,1
v2,u33_u22_u11,1,0,0,1
v1,u34_u22_u11,0,0,0,1
v1,u31_u21_u11,0,0,0,0
v2,u32_u22_u12,1,1,1,1
v1,u34_u23_u12,0,0,1,1
v1,u31_u22_u12,0,0,0,0
v2,u34_u22_u14,1,1,1,1
v1,u31_u22_u11,0,0,0,0
v1,u34_u22_u11,0,0,0,1
v2,u34_u21_u12,1,1,0,1
v1,u33_u23_u12,0,0,1,0
v1,u31_u24_u11,0,0,1,0
v1,u31_u24_u11,0,0,1,0
v1,u31_u22_u12,0,0,0,0
v2,u33_u23_u14,1,1,0,1
v1,u31_u23_u11,0,0,1,0
v1,u31_u22_u12,0,0,0,0
v1,u34_u22_u12,0,0,0,1
v2,u31_u23_u11,1,0,1,0
v1,u32_u23_u12,0,0,1,1
v1,u31_u23_u12,0,0,1,0
v2,u31_u22_u11,1,0,0,0
v1,u31_u21_u11,0,0,0,0
v1,u33_u23_u11,0,0,1,0
v2,u33_u23_u12,1,1,0,1
v1,u33_u21_u11,0,0,0,1
v1,u33_u22_u11,0,0,0,1
v2,u34_u21_u11,1,0,0,1
v1,u34_u23_u12,0,0,1,1
v2,u31_u23_u13,1,0,1,0
v1,u31_u22_u11,0,0,0,0
v1,u33_u23_u12,0,0,1,0
v1,u31_u21_u11,0,0,0,0
v2,u31_u23_u11,1,0,1,0
v1,u33_u24_u14,0,1,1,0
v1,u34_u21_u12,0,0,0,1
v1,u34_u23_u11,0,0,1,1
v2,u33_u23_u11,1,0,1,0
v2,u31_u23_u14,1,1,0,0
v2,u32_u23_u11,1,0,1,1
v1,u34_u23_u12,0,0,1,1
v1,u31_u22_u12,0,0,0,0
v1,u31_u24_u11,0,0,1,0
v2,u33_u21_u11,1,0,0,1
v1,u34_u23_u11,0,0,1,1
v2,u33_u21_u11,1,0,0,1
v1,u33_u22_u12,0,0,0,1
v1,u34_u23_u12,0,0,1,1
v1,u32_u23_u12,0,0,1,1
v1,u31_u21_u12,0,0,0,0
v1,u31_u23_u11,0,0,1,0
v1,u31_u23_u11,0,0,1,0
v1,u34_u21_u12,0,0,0,1
v2,u34_u22_u11,1,0,0,1
v1,u31_u22_u11,0,0,0,0
v1,u33_u22_u11,0,0,0,1
v1,u31_u24_u11,0,0,1,0
v1,u31_u22_u11,0,0,0,0
v1,u34_u23_u12,0,0,1,1
v2,u34_u21_u12,1,1,0,1
v1,u31_u22_u11,0,0,0,0
v1,u31_u21_u11,0,0,0,0
v1,u31_u22_u12,0,0,0,0
v1,u33_u21_u11,0,0,0,1
v2,u34_u22_u11,1,0,0,1
v1,u32_u23_u13,0,1,0,0
v2,u34_u24_u12,1,1,1,1
v1,u31_u21_u11,0,0,0,0
v1,u33_u23_u11,0,0,1,0
v1,u34_u22_u11,0,0,0,1
v1,u31_u21_u13,0,1,0,0
v1,u33_u21_u12,0,0,0,1
v1,u34_u23_u12,0,0,1,1
v2,u31_u23_u11,1,0,1,0
v1,u31_u24_u11,0,0,1,0
v1,u31_u24_u12,0,0,1,0
v1,u32_u23_u11,0,0,1,1
v1,u31_u23_u12,0,0,1,0
v1,u31_u21_u12,0,0,0,0
v1,u33_u24_u14,0,1,1,0
v1,u31_u24_u12,0,0,1,0
v1,u31_u22_u11,0,0,0,0
v2,u32_u21_u11,1,0,0,0
v1,u33_u23_u12,0,0,1,0
v2,u34_u23_u12,1,1,0,1
v1,u33_u23_u11,0,0,1,0
v1,u31_u22_u12,0,0,0,0
v1,u31_u21_u12,0,0,0,0
v1,u31_u21_u12,0,0,0,0
v1,u33_u21_u13,0,1,0,1
v1,u34_u22_u12,0,0,0,1
v1,u32_u21_u11,0,0,0,0
v1,u31_u23_u12,0,0,1,0
v2,u31_u21_u12,1,1,0,0
v1,u31_u23_u11,0,0,1,0
v1,u33_u24_u11,0,0,1,0
v1,u33_u24_u14,0,1,1,0
v2,u34_u22_u14,1,1,1,1
v2,u33_u23_u11,1,0,1,0
v2,u33_u22_u11,1,0,0,1
v2,u31_u24_u12,1,1,1,0
v2,u31_u23_u11,1,0,1,0
v1,u33_u21_u12,0,0,0,1
v1,u33_u21_u11,0,0,0,1
v2,u32_u21_u11,1,0,0,0
v1,u33_u21_u11,0,0,0,1
v2,u31_u24_u11,1,0,1,0
v2,u31_u21_u12,1,1,0,0
v1,u32_u23_u11,0,0,1,1
v1,u34_u23_u11,0,0,1,1
v1,u31_u24_u11,0,0,1,0
v1,u31_u22_u12,0,0,0,0
v1,u33_u23_u11,0,0,1,0
v1,u34_u21_u12,0,0,0,1
v1,u33_u24_u11,0,0,1,0
v1,u31_u22_u11,0,0,0,0
v2,u31_u21_u12,1,1,0,0
v1,u31_u23_u12,0,0,1,0
v1,u31_u23_u11,0,0,1,0
v2,u31_u24_u11,1,0,1,0
v2,u34_u23_u12,1,1,0,1
v1,u33_u22_u11,0,0,0,1
v1,u33_u23_u14,0,1,0,1
v2,u32_u24_u11,1,0,1,1
v1,u32_u21_u11,0,0,0,0
v1,u31_u24_u12,0,0,1,0
v1,u33_u23_u13,0,1,0,1
v1,u31_u23_u11,0,0,1,0
v2,u34_u21_u11,1,0,0,1
v1,u33_u21_u11,0,0,0,1
v1,u34_u23_u11,0,0,1,1
v1,u32_u22_u12,0,0,0,0
v1,u31_u23_u12,0,0,1,0
v1,u31_u23_u11,0,0,1,0
v1,u31_u22_u11,0,0,0,0
v2,u34_u23_u12,1,1,0,1
v1,u34_u22_u11,0,0,0,1
v1,u33_u23_u11,0,0,1,0
v1,u33_u22_u11,0,0,0,1
v1,u31_u22_u14,0,1,1,0
v2,u31_u23_u11,1,0,1,0
v1,u31_u21_u11,0,0,0,0
v1,u34_u22_u11,0,0,0,1
v1,u32_u23_u11,0,0,1,1
v2,u31_u22_u11,1,0,0,0
v1,u34_u23_u11,0,0,1,1
v1,u33_u23_u11,0,0,1,0
v2,u33_u23_u12,1,1,0,1
v1,u33_u24_u11,0,0,1,0
v1,u33_u21_u12,0,0,0,1
v1,u31_u21_u11,0,0,0,0
v1,u31_u22_u12,0,0,0,0
v2,u31_u23_u12,1,1,0,0
v1,u33_u21_u11,0,0,0,1
v2,u32_u23_u12,1,1,0,0
v2,u31_u21_u12,1,1,0,0
v1,u31_u21_u11,0,0,0,0
v1,u31_u23_u12,0,0,1,0
v1,u31_u22_u14,0,1,1,0
v1,u31_u24_u12,0,0,1,0
v1,u34_u24_u11,0,0,1,1
v1,u31_u22_u11,0,0,0,0
v1,u34_u22_u12,0,0,0,1
v1,u34_u24_u11,0,0,1,1
v1,u34_u22_u11,0,0,0,1
v1,u33_u21_u12,0,0,0,1
v1,u32_u22_u12,0,0,0,0
v1,u31_u23_u14,0,1,0,0
v1,u34_u22_u12,0,0,0,1
v1,u32_u23_u11,0,0,1,1
v1,u31_u21_u11,0,0,0,0
v1,u34_u22_u11,0,0,0,1
v2,u34_u24_u12,1,1,1,1
v1,u31_u23_u12,0,0,1,0
v1,u33_u23_u11,0,0,1,0
v1,u31_u24_u11,0,0,1,0
v1,u33_u23_u12,0,0,1,0
v2,u31_u22_u13,1,0,0,0
v2,u33_u22_u11,1,0,0,1
v1,u32_u22_u11,0,0,0,0
v2,u33_u23_u14,1,1,0,1
v1,u31_u21_u11,0,0,0,0
v1,u33_u21_u12,0,0,0,1
v1,u33_u23_u12,0,0,1,0
v1,u34_u23_u12,0,0,1,1
v1,u34_u24_u11,0,0,1,1
v1,u32_u22_u14,0,1,1,1
v1,u34_u21_u11,0,0,0,1
v1,u34_u22_u12,0,0,0,1
v1,u33_u23_u11,0,0,1,0
v1,u34_u24_u11,0,0,1,1
v1,u33_u21_u11,0,0,0,1
v2,u32_u23_u13,1,0,1,1
v1,u32_u21_u11,0,0,0,0
v2,u33_u21_u11,1,0,0,1
v1,u33_u23_u12,0,0,1,0
v2,u31_u21_u12,1,1,0,0
v1,u34_u22_u11,0,0,0,1
v1,u34_u21_u11,0,0,0,1
v1,u31_u23_u13,0,1,0,0
v1,u31_u23_u11,0,0,1,0
v1,u31_u22_u11,0,0,0,0
v1,u33_u22_u12,0,0,0,1
v2,u32_u21_u12,1,1,0,0
v1,u34_u21_u12,0,0,0,1
v1,u34_u22_u12,0,0,0,1
v1,u32_u23_u11,0,0,1,1
v1,u32_u23_u12,0,0,1,1
v1,u33_u23_u11,0,0,1,0
v1,u31_u23_u11,0,0,1,0
v1,u33_u23_u13,0,1,0,1
v1,u32_u22_u11,0,0,0,0
v1,u34_u22_u11,0,0,0,1
v1,u32_u23_u12,0,0,1,1
v1,u32_u21_u11,0,0,0,0
v2,u32_u21_u11,1,0,0,0
v1,u32_u21_u11,0,0,0,0
v1,u34_u22_u14,0,1,1,1
v2,u32_u21_u14,1,1,0,0
v2,u31_u22_u12,1,1,1,0
v1,u33_u22_u11,0,0,0,1
v1,u34_u21_u12,0,0,0,1
v1,u31_u21_u12,0,0,0,0
v2,u31_u23_u11,1,0,1,0
v2,u31_u22_u13,1,0,0,0
v1,u34_u24_u11,0,0,1,1
v1,u32_u23_u12,0,0,1,1
v1,u33_u22_u13,0,1,1,0
v1,u33_u24_u12,0,0,1,0
v1,u34_u22_u11,0,0,0,1
v1,u31_u23_u14,0,1,0,0
v2,u31_u22_u11,1,0,0,0
v1,u31_u22_u12,0,0,0,0
v2,u31_u24_u11,1,0,1,0
v2,u32_u21_u12,1,1,0,0
v2,u34_u22_u11,1,0,0,1
v1,u33_u23_u11,0,0,1,0
v1,u31_u23_u12,0,0,1,0
v1,u33_u23_u11,0,0,1,0
v1,u31_u21_u11,0,0,0,0
v1,u31_u21_u12,0,0,0,0
v2,u31_u22_u11,1,0,0,0
v2,u31_u22_u11,1,0,0,0
v1,u31_u23_u12,0,0,1,0
v2,u31_u21_u13,1,0,0,0
v1,u33_u24_u11,0,0,1,0
v1,u33_u24_u12,0,0,1,0
v1,u33_u21_u12,0,0,0,1
v2,u31_u21_u11,1,0,0,0
v1,u33_u24_u13,0,1,1,0
v1,u33_u23_u12,0,0,1,0
v1,u31_u22_u12,0,0,0,0
v1,u33_u23_u14,0,1,0,1
v2,u32_u24_u12,1,1,1,1
v1,u32_u21_u11,0,0,0,0
v2,u31_u22_u12,1,1,1,0
v2,u32_u23_u11,1,0,1,1
v1,u31_u21_u12,0,0,0,0
v1,u34_u24_u12,0,0,1,1
v2,u31_u24_u13,1,0,1,0
v1,u33_u22_u11,0,0,0,1
v1,u31_u22_u11,0,0,0,0
v1,u33_u23_u11,0,0,1,0
v2,u32_u22_u11,1,0,0,0
v2,u31_u24_u11,1,0,1,0
v1,u31_u21_u11,0,0,0,0
v1,u31_u21_u11,0,0,0,0
v1,u31_u24_u11,0,0,1,0
v1,u33_u22_u11,0,0,0,1
v2,u31_u22_u11,1,0,0,0
v2,u34_u23_u12,1,1,0,1
v2,u32_u22_u11,1,0,0,0
v1,u33_u22_u11,0,0,0,1
v1,u31_u23_u14,0,1,0,0
v1,u31_u21_u14,0,1,0,0
v1,u32_u21_u11,0,0,0,0
v2,u34_u22_u11,1,0,0,1
v2,u31_u22_u11,1,0,0,0
v1,u34_u21_u11,0,0,0,1
v2,u32_u21_u11,1,0,0,0
v2,u31_u21_u12,1,1,0,0
v1,u34_u23_u11,0,0,1,1
v1,u33_u21_u11,0,0,0,1
v2,u34_u22_u11,1,0,0,1
v1,u31_u22_u13,0,1,1,0
v1,u31_u23_u14,0,1,0,0
v1,u31_u23_u11,0,0,1,0
v1,u33_u24_u12,0,0,1,0
v1,u33_u22_u11,0,0,0,1
v1,u34_u21_u12,0,0,0,1
v1,u34_u22_u11,0,0,0,1
v1,u32_u24_u12,0,0,1,1
v1,u31_u21_u14,0,1,0,0
v1,u31_u23_u12,0,0,1,0
v2,u33_u23_u11,1,0,1,0
v2,u33_u21_u11,1,0,0,1
v1,u31_u22_u11,0,0,0,0
v2,u33_u23_u12,1,1,0,1
v1,u31_u22_u11,0,0,0,0
v1,u31_u22_u12,0,0,0,0
v2,u31_u23_u12,1,1,0,0
v1,u31_u23_u12,0,0,1,0
v1,u34_u24_u12,0,0,1,1
v1,u31_u23_u11,0,0,1,0
v1,u34_u23_u13,0,1,0,1
v1,u34_u23_u13,0,1,0,1
v1,u31_u22_u12,0,0,0,0
v1,u33_u24_u14,0,1,1,0
v1,u33_u23_u12,0,0,1,0
v1,u33_u23_u11,0,0,1,0
v1,u31_u23_u11,0,0,1,0
v2,u33_u21_u12,1,1,0,1
v1,u31_u23_u11,0,0,1,0
v1,u32_u23_u11,0,0,1,1
v1,u34_u21_u12,0,0,0,1
v1,u33_u23_u12,0,0,1,0
v2,u31_u24_u11,1,0,1,0
v2,u34_u23_u11,1,0,1,1
v2,u31_u24_u12,1,1,1,0
v2,u32_u22_u11,1,0,0,0
v1,u32_u24_u11,0,0,1,1
v2,u31_u22_u14,1,1,1,0
v2,u33_u22_u11,1,0,0,1
v1,u34_u24_u11,0,0,1,1
v2,u31_u22_u14,1,1,1,0
v1,u31_u21_u11,0,0,0,0
v1,u33_u22_u11,0,0,0,1
v2,u34_u24_u11,1,0,1,1
v1,u31_u23_u11,0,0,1,0
v2,u34_u21_u11,1,0,0,1
v1,u31_u23_u11,0,0,1,0
v2,u31_u21_u11,1,0,0,0
v1,u31_u22_u11,0,0,0,0
v1,u31_u23_u11,0,0,1,0
v1,u33_u23_u11,0,0,1,0
v1,u31_u21_u11,0,0,0,0
v2,u31_u24_u12,1,1,1,0
v1,u32_u23_u12,0,0,1,1
v2,u33_u23_u12,1,1,0,1
v1,u31_u22_u13,0,1,1,0
v2,u31_u21_u12,1,1,0,0
v2,u34_u23_u11,1,0,1,1
v1,u31_u21_u11,0,0,0,0
v1,u31_u23_u11,0,0,1,0
v1,u33_u22_u11,0,0,0,1
v1,u31_u23_u11,0,0,1,0
v1,u31_u21_u12,0,0,0,0
v2,u33_u23_u12,1,1,0,1
v1,u33_u24_u11,0,0,1,0
v1,u33_u21_u12,0,0,0,1
v1,u31_u21_u11,0,0,0,0
v1,u31_u23_u11,0,0,1,0
v2,u31_u21_u11,1,0,0,0
v2,u34_u21_u14,1,1,0,1
v2,u34_u24_u14,1,1,1,1
v2,u31_u24_u13,1,0,1,0
v1,u34_u21_u11,0,0,0,1
v1,u34_u23_u13,0,1,0,1
v1,u33_u24_u12,0,0,1,0
v1,u31_u21_u12,0,0,0,0
v1,u34_u23_u14,0,1,0,1
v1,u31_u21_u12,0,0,0,0
v1,u34_u22_u11,0,0,0,1
v1,u31_u23_u11,0,0,1,0
v2,u34_u24_u12,1,1,1,1
v1,u33_u21_u12,0,0,0,1
v1,u33_u22_u11,0,0,0,1
v1,u31_u23_u11,0,0,1,0
v1,u32_u23_u11,0,0,1,1
v1,u33_u22_u12,0,0,0,1
v2,u31_u21_u11,1,0,0,0
v2,u31_u22_u13,1,0,0,0
v1,u33_u22_u11,0,0,0,1
v2,u31_u23_u12,1,1,0,0
v1,u33_u22_u11,0,0,0,1
v1,u33_u21_u11,0,0,0,1
v2,u32_u22_u11,1,0,0,0
v1,u31_u23_u14,0,1,0,0
v1,u34_u23_u12,0,0,1,1
v2,u33_u23_u11,1,0,1,0
v1,u31_u21_u12,0,0,0,0
v1,u32_u22_u12,0,0,0,0
v1,u33_u23_u11,0,0,1,0
v1,u31_u24_u11,0,0,1,0
v2,u31_u21_u12,1,1,0,0
v2,u31_u23_u12,1,1,0,0
v1,u31_u21_u11,0,0,0,0
v1,u31_u23_u11,0,0,1,0
v1,u33_u21_u12,0,0,0,1
v2,u34_u23_u12,1,1,0,1
v1,u33_u23_u11,0,0,1,0
v2,u34_u22_u12,1,1,1,1
v1,u31_u23_u14,0,1,0,0
v1,u33_u21_u11,0,0,0,1
v2,u33_u24_u11,1,0,1,0
v1,u31_u21_u11,0,0,0,0
v2,u31_u23_u11,1,0,1,0
v1,u31_u24_u11,0,0,1,0
v1,u32_u21_u11,0,0,0,0
v1,u34_u23_u12,0,0,1,1
v1,u31_u21_u12,0,0,0,0
v1,u34_u22_u12,0,0,0,1
v2,u31_u21_u12,1,1,0,0
v1,u34_u23_u13,0,1,0,1
v1,u34_u21_u11,0,0,0,1
v2,u33_u24_u11,1,0,1,0
v1,u31_u23_u11,0,0,1,0
v2,u34_u23_u11,1,0,1,1
v1,u34_u22_u14,0,1,1,1
v1,u31_u22_u11,0,0,0,0
v2,u33_u22_u12,1,1,1,0
v2,u34_u24_u12,1,1,1,1
v1,u31_u23_u11,0,0,1,0
v1,u31_u23_u12,0,0,1,0
v1,u33_u23_u11,0,0,1,0
v1,u34_u21_u11,0,0,0,1
v1,u31_u22_u11,0,0,0,0
v1,u32_u23_u11,0,0,1,1
v2,u31_u23_u12,1,1,0,0
v1,u34_u21_u11,0,0,0,1
v1,u32_u23_u11,0,0,1,1
v1,u33_u21_u14,0,1,0,1
v1,u34_u21_u11,0,0,0,1
v1,u32_u22_u11,0,0,0,0
v2,u32_u22_u12,1,1,1,1
v1,u33_u23_u14,0,1,0,1
v2,u31_u22_u12,1,1,1,0
v2,u34_u23_u12,1,1,0,1
v1,u33_u21_u12,0,0,0,1
v1,u34_u21_u11,0,0,0,1
v1,u31_u23_u11,0,0,1,0
v1,u31_u23_u11,0,0,1,0
v2,u31_u21_u11,1,0,0,0
v1,u33_u24_u12,0,0,1,0
v2,u31_u21_u13,1,0,0,0
v2,u31_u21_u12,1,1,0,0
v1,u31_u24_u12,0,0,1,0
v2,u34_u22_u11,1,0,0,1
v1,u32_u21_u12,0,0,0,0
v1,u34_u23_u13,0,1,0,1
v1,u32_u23_u12,0,0,1,1
v1,u32_u21_u12,0,0,0,0
v2,u31_u23_u12,1,1,0,0
v1,u34_u22_u11,0,0,0,1
v1,u31_u24_u11,0,0,1,0
v2,u34_u21_u12,1,1,0,1
v1,u31_u24_u12,0,0,1,0
v1,u34_u22_u11,0,0,0,1
v1,u34_u23_u11,0,0,1,1
v2,u34_u22_u12,1,1,1,1
v2,u31_u21_u11,1,0,0,0
v1,u32_u24_u11,0,0,1,1
v1,u34_u22_u11,0,0,0,1
v1,u31_u21_u11,0,0,0,0
v1,u32_u21_u11,0,0,0,0
v1,u31_u23_u11,0,0,1,0
v2,u31_u23_u12,1,1,0,0
v2,u33_u21_u12,1,1,0,1
v1,u31_u21_u11,0,0,0,0
v1,u31_u23_u11,0,0,1,0
v1,u33_u21_u12,0,0,0,1
v2,u31_u24_u11,1,0,1,0
v1,u33_u22_u12,0,0,0,1
v1,u31_u23_u12,0,0,1,0
v1,u34_u22_u12,0,0,0,1
v2,u34_u23_u11,1,0,1,1
v1,u32_u22_u11,0,0,0,0
v1,u34_u21_u11,0,0,0,1
v1,u31_u22_u13,0,1,1,0
v1,u33_u21_u11,0,0,0,1
v1,u34_u23_u12,0,0,1,1
v1,u31_u21_u11,0,0,0,0
v1,u33_u22_u11,0,0,0,1
v2,u33_u22_u11,1,0,0,1
v1,u33_u21_u12,0,0,0,1
v2,u31_u21_u11,1,0,0,0
v2,u34_u23_u12,1,1,0,1
v1,u34_u21_u11,0,0,0,1
v1,u31_u21_u11,0,0,0,0
v1,u31_u23_u11,0,0,1,0
v2,u34_u23_u11,1,0,1,1
v1,u31_u21_u12,0,0,0,0
v2,u33_u23_u12,1,1,0,1
v2,u34_u22_u12,1,1,1,1
v1,u32_u22_u11,0,0,0,0
v2,u31_u23_u11,1,0,1,0
v2,u34_u22_u11,1,0,0,1
v1,u31_u21_u12,0,0,0,0
v1,u33_u22_u12,0,0,0,1
